,Season,Episode,Character,Line,Processed Line
302,10,2,Randy,"You got some nerve, you know that?! Where do you come off ticketing people?!",you got some nerve you know that where do you come off ticketing people
304,10,2,Randy,I know it's not a real ticket!!,i know its not a real ticket
308,10,2,Kyle,"Dad, let's just go!",dad lets just go
310,10,2,Randy,"The problem, Gerald, is that ever since you got a hybrid car, you've gotten so smug that you love the smell of your own farts!",the problem gerald is that ever since you got a hybrid car youve gotten so smug that you love the smell of your own farts
312,10,2,Randy,And that too! Stop talking with your eyes closed! That's what smug people do!,and that too stop talking with your eyes closed thats what smug people do
314,10,2,Randy,"There, like that! Stop that!",there like that stop that
318,10,2,Kyle,"Dad.  Dad, Ike and I have been talking, and well, we feel that your new car is changing you.",dad  dad ike and i have been talking and well we feel that your new car is changing you
320,10,2,Kyle,We're thinking that a lot of people in town starting too...,were thinking that a lot of people in town starting too 
322,10,2,Kyle,...a-are starting to take offense at your actions. We feel like you're starting to become-hmm..., aare starting to take offense at your actions we feel like youre starting to becomehmm 
324,10,2,Kyle,...star-starting to become alienated from some of your friends., starstarting to become alienated from some of your friends
328,10,2,Kyle,"Righ!  Okay, good.",righ  okay good
333,10,2,Butters,"Uh hay, Stan. Uh you should come on over. Uh they're havin' a goin'-away party for Kyle.",uh hay stan uh you should come on over uh theyre havin a goinaway party for kyle
334,10,2,Stan,Going away party? What do you mean?,going away party what do you mean
335,10,2,Butters,Well don't you know? Kyle's movin' away.,well dont you know kyles movin away
336,10,2,Stan,Moving away?? Kyle can't move away!,moving away kyle cant move away
338,10,2,Stan,Where's the going-away party?,wheres the goingaway party
340,10,2,Cartman,Hey everybody! There's more pop in the refrigerator. Let's make this the best going-away party EVER!,hey everybody theres more pop in the refrigerator lets make this the best goingaway party ever
344,10,2,Cartman,Kyle? Why would I invite Kyle?,kyle why would i invite kyle
349,10,2,Cartman,"You guys, this is our party. That no-good back-stabbing Jew rat is finally leaving! Come on, everyone! Let's sing! 'Nanana na! Nanana na! Hey hey hey! Goodbye Kyle!",you guys this is our party that nogood backstabbing jew rat is finally leaving come on everyone lets sing nanana na nanana na hey hey hey goodbye kyle
350,10,2,Stan,Kyle! Du-what is going on?!,kyle duwhat is going on
351,10,2,Kyle,My Dad says he can't live here anymore.,my dad says he cant live here anymore
352,10,2,Stan,"Mr. Broflovski, please. Kyle's my best friend.",mr broflovski please kyles my best friend
354,10,2,Stan,Well... Maybe they'll change.,well  maybe theyll change
358,10,2,Stan,I will. I will get everyone to drive hybrid cars! I swear it!,i will i will get everyone to drive hybrid cars i swear it
378,10,2,Stan,"Come on, people. Come on, people now.",come on people come on people now
379,10,2,Cartman,"Dude, what are you doing?",dude what are you doing
380,10,2,Stan,"I'm writing a song about the importance of hybrid cars, so maybe people will change their ways.",im writing a song about the importance of hybrid cars so maybe people will change their ways
382,10,2,Stan,"Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!",well if i have any chance of getting kyle back i have to get people to stop driving suvs
383,10,2,Cartman,Why do you want Kyle back?? Don't you see how awesome it is without him?,why do you want kyle back dont you see how awesome it is without him
384,10,2,Stan,"You know, Cartman, you may be stoked now, but I bet you're gonna find that withuot Kyle around to rip on, your life is empty, and hollow.",you know cartman you may be stoked now but i bet youre gonna find that withuot kyle around to rip on your life is empty and hollow
385,10,2,Cartman,"Psh! Whatever dude. I don't need Kyle to rip on, I've got Butters. Come on, Butters, you stupid Jew!",psh whatever dude i dont need kyle to rip on ive got butters come on butters you stupid jew
386,10,2,Butters,Yeah! I'm a dumb Jew.,yeah im a dumb jew
387,10,2,Stan,"Come on, people. Come on, people now.",come on people come on people now
389,10,2,Stan,"Come on now, people now people now'
People now, come on now, people now
Got to drive hybrids, people now
People now, people now, people now
Hybrids are for people now, people now
Group of people driving people now
Get a hybrid, be good people now.","come on now people now people now
people now come on now people now
got to drive hybrids people now
people now people now people now
hybrids are for people now people now
group of people driving people now
get a hybrid be good people now"
391,10,2,Stan,"We have all got to be people now
People-driving-hybrid people now
People now, people now, hybrid now
Hybrid-people-driving people now.
Come on, people, let's be people now
Hybrid-people-driving people now
Come on, everybody be people now","we have all got to be people now
peopledrivinghybrid people now
people now people now hybrid now
hybridpeopledriving people now
come on people lets be people now
hybridpeopledriving people now
come on everybody be people now"
395,10,2,Randy,"I know! It's like ""Earth to America? Hello? This is simple stuff here. Gawl""",i know its like earth to america hello this is simple stuff here gawl
399,10,2,Randy,At least we're smart enough to know better!,at least were smart enough to know better
401,10,2,Stan,"Come on, everybody be people now",come on everybody be people now
404,10,2,Stan,"Ah, thanks. I was really just trying to make it so my friend can move back here so... if you don't mind, I'm gonna try to get a hold of him now.",ah thanks i was really just trying to make it so my friend can move back here so  if you dont mind im gonna try to get a hold of him now
415,10,2,Stan,Smog? There's never been smog over South Park before.,smog theres never been smog over south park before
432,10,2,Kyle,So... what do you do for fun?,so  what do you do for fun
435,10,2,Kyle,"Oh, no thanks. We don't do that stuff.",oh no thanks we dont do that stuff
441,10,2,Kyle,Well... maybe I'll take just half a hit of acid.,well  maybe ill take just half a hit of acid
443,10,2,Stan,"No, no, I'm asking if there's a listing for Broflovski in San Francisco! They just moved there!",no no im asking if theres a listing for broflovski in san francisco they just moved there
444,10,2,Cartman,"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!",haha take that jew boy i guess you heebs cant even play video football
446,10,2,Cartman,"You know Butters, you make for a lousy Jew.",you know butters you make for a lousy jew
447,10,2,Butters,"Well I'm sorry. Well it's just that I'm not Jewish, and now th-",well im sorry well its just that im not jewish and now th
448,10,2,Cartman,"No, no! Don't apologize, you asshole!",no no dont apologize you asshole
450,10,2,Stan,"Oh crap, Ranger McFriendly.",oh crap ranger mcfriendly
458,10,2,Stan,George Clooney's acceptance speech?,george clooneys acceptance speech
461,10,2,Stan,What about San Francisco?,what about san francisco
464,10,2,Randy,Are you trying to tell us the smug from our hybrids is actually gonna kill us all?,are you trying to tell us the smug from our hybrids is actually gonna kill us all
467,10,2,Randy,"Yeah. Good going, stupid!",yeah good going stupid
471,10,2,Randy,"Hey, where do you think YOU're going?!",hey where do you think youre going
472,10,2,Stan,I'm gonna try and warn Kyle to get out of San Francisco.,im gonna try and warn kyle to get out of san francisco
473,10,2,Randy,Oh no you're not! Your gay little song got us to drive hybrids; you're gonna help us get rid of 'em!,oh no youre not your gay little song got us to drive hybrids youre gonna help us get rid of em
477,10,2,Butters,"Wow, Eric. You sure are a great guy for doing this.",wow eric you sure are a great guy for doing this
478,10,2,Cartman,I don't have a choice. Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.,i dont have a choice somebody has to get into san francisco and warn kyles family to get out before the storm hits
479,10,2,Butters,But... how come we can't just take the bus on into the city?,but  how come we cant just take the bus on into the city
480,10,2,Cartman,"You don't know San Francisco, Butters.  It was the breeding ground for the hippie movement in the 60s. Those hard-core liberals, lesbian activists, and die hard modern hippies young and old.  I swore I would never set foot in San Francisco. God help me.  All right, Butters, I'll be tethered to you through this cord. It's my only lifeline, so make sure it stays taut. If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength.",you dont know san francisco butters  it was the breeding ground for the hippie movement in the 60s those hardcore liberals lesbian activists and die hard modern hippies young and old  i swore i would never set foot in san francisco god help me  all right butters ill be tethered to you through this cord its my only lifeline so make sure it stays taut if you stop hearing my voice for the love of christ start reeling me in with all your strength
481,10,2,Butters,"I will. You're really great for going to warn Kyle, Eric.",i will youre really great for going to warn kyle eric
482,10,2,Cartman,"I'm not doin' it for Kyle.  I can't believe I'm actually going to walk through San Francisco. Well, here it goes.",im not doin it for kyle  i cant believe im actually going to walk through san francisco well here it goes
484,10,2,Stan,Can't somebody else operate this? I can't really reach.,cant somebody else operate this i cant really reach
488,10,2,Cartman,"Butters, are you there?!",butters are you there
490,10,2,Cartman,I've started to enter the smug. I'm about a quarter mile in. Can you give me an EL?,ive started to enter the smug im about a quarter mile in can you give me an el
491,10,2,Butters,You must be nearing Union Square. Did you see a fountain to your left?,you must be nearing union square did you see a fountain to your left
492,10,2,Cartman,Yes. It's just beyond yet another wine and cheese store.,yes its just beyond yet another wine and cheese store
493,10,2,Butters,"Wait, uhh, eh take your next right. You've got to start heading west.",wait uhh eh take your next right youve got to start heading west
494,10,2,Cartman,Turning right at O two four niner.,turning right at o two four niner
495,10,2,Randy,That's it. That's that the last one.,thats it thats that the last one
498,10,2,Cartman,"Butters?! Butters, I think I'm here! 2419 Castillo?!",butters butters i think im here 2419 castillo
499,10,2,Butters,"That's it! Eric, hurry! Somethin's goin' on out here!",thats it eric hurry somethins goin on out here
500,10,2,Cartman,"Mr. Broflovski! Mr. Broflovski, there a smug storm! We have to go!",mr broflovski mr broflovski there a smug storm we have to go
502,10,2,Cartman,Oh my CHRIST!  Kyle? Kyle!,oh my christ  kyle kyle
503,10,2,Kyle,"The acid. Dude, I'm totally tripping balls.",the acid dude im totally tripping balls
505,10,2,Cartman,We have to get out of here! Now!  Kyle! Kyle!!,we have to get out of here now  kyle kyle
508,10,2,Randy,"I'm sorry, Stan. I'm sorry your gay little song killed your friend.",im sorry stan im sorry your gay little song killed your friend
517,10,2,Stan,"Dude, I'm so glad you're not dead.",dude im so glad youre not dead
519,10,2,Randy,"Yeah. First off, we're all gonna need new cars.",yeah first off were all gonna need new cars
521,10,2,Kyle,NO! Hybrid cars are a good thing!,no hybrid cars are a good thing
523,10,2,Kyle,"Hybrid cars don't cause smugness, people do.  Look, hybrid cars are important. They may even save our planet one day. What you all need to do is just learn to drive hybrids and not be smug about it.",hybrid cars dont cause smugness people do  look hybrid cars are important they may even save our planet one day what you all need to do is just learn to drive hybrids and not be smug about it
524,10,2,Randy,You mean... drive in hybrids... but not act like we're better than everyone else because of it.,you mean  drive in hybrids  but not act like were better than everyone else because of it
526,10,2,Randy,I'm...  I'm not ready...,im   im not ready 
529,10,2,Randy,"Perhaps... one day... we can learn to drive hybrids without being smug about it, but for now... the technology is just too much for us.",perhaps  one day  we can learn to drive hybrids without being smug about it but for now  the technology is just too much for us
531,10,2,Cartman,"Well, looks like you're back for good, huh Kyle?",well looks like youre back for good huh kyle
532,10,2,Kyle,"Yeah, I guess so.",yeah i guess so
533,10,2,Cartman,"We just can't get rid of you, can we, you sneaky Jew rat!",we just cant get rid of you can we you sneaky jew rat
534,10,2,Kyle,"Don't belittle my people, you fucking fatass!",dont belittle my people you fucking fatass
539,10,3,Randy,"Get up! Get your shoes on! Gotta get out of here! MOOVE!  Take this!!  We've gotta bring all the water we can!!  Shelly, go get my gun!!",get up get your shoes on gotta get out of here moove  take this  weve gotta bring all the water we can  shelly go get my gun
541,10,3,Randy,JUST GET THE GUN!!,just get the gun
545,10,3,Stan,Kyle! What the hell is going on this time?!,kyle what the hell is going on this time
546,10,3,Kyle,I have no idea!,i have no idea
551,10,3,Stan,"Dad?  Dad, what the hell is going on?!",dad  dad what the hell is going on
552,10,3,Randy,A cartoon...! A cartoon is about to air on American television with... with the Muslim prophet Mohammad as a character!,a cartoon  a cartoon is about to air on american television with  with the muslim prophet mohammad as a character
554,10,3,Randy,"SO?! Stanley, Mohammad is sacred to the Muslim people.  Ever since those cartoon in Denmark, the rules have changed. Nobody shows an image of Mohammad anymore.",so stanley mohammad is sacred to the muslim people  ever since those cartoon in denmark the rules have changed nobody shows an image of mohammad anymore
556,10,3,Randy,Who do you think?! The cartoon that's always pushing buttons with their careless toilet humor! Family Guy!,who do you think the cartoon thats always pushing buttons with their careless toilet humor family guy
560,10,3,Randy,Because Family Guy doesn't care who they insult! They only care about their... precious money!,because family guy doesnt care who they insult they only care about their  precious money
561,10,3,Stan,"Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??",oh come on people you really think anybodys gonna be that pissed off about a cartoon
568,10,3,Randy,"We stay here through the night, wait it out to see if they do anything. If we're still alive in the morning,  then we'll know we're not dead.",we stay here through the night wait it out to see if they do anything if were still alive in the morning  then well know were not dead
570,10,3,Randy,We're alive?? We're alive!,were alive were alive
573,10,3,Randy,"Well, it looks like we've dodged a bullet.",well it looks like weve dodged a bullet
574,10,3,Stan,They censored the image of Mohammad? How?,they censored the image of mohammad how
575,10,3,Kyle,I TIVO every episode. We can go to my house and see what they did.,i tivo every episode we can go to my house and see what they did
576,10,3,Kyle,"Okay you guys, check it out.",okay you guys check it out
577,10,3,Cartman,You TIVO every episode of Family Guy?,you tivo every episode of family guy
578,10,3,Kyle,"Dude, it's a good show.",dude its a good show
579,10,3,Stan,"Yeah, lots of people like Family Guy.",yeah lots of people like family guy
599,10,3,Kyle,That's it? That's all they did?,thats it thats all they did
600,10,3,Cartman,"Oh man, that's not cool! Seriously, that is not cool.",oh man thats not cool seriously that is not cool
601,10,3,Stan,What? What's the big deal?,what whats the big deal
602,10,3,Cartman,"What's the big deal? You guys, they just made fun of the religion of an entire group of people.  What, you guys think that's okay?! Do you care at all about people's feelings?!",whats the big deal you guys they just made fun of the religion of an entire group of people  what you guys think thats okay do you care at all about peoples feelings
603,10,3,Kyle,"Since when you care about being sensitive to people's religion, Cartman?!",since when you care about being sensitive to peoples religion cartman
604,10,3,Stan,"Yeah, you rip on people's religion all the time!",yeah you rip on peoples religion all the time
605,10,3,Cartman,"That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! Huh?!",thats different im just a little boy thats a cartoon millions of people watch it how would you feel kyle if there was a cartoon on television that made fun of jews all the time huh
607,10,3,Cartman,"I'm telling you guys, it's wrong! It's WRONG!!  It's wrong!",im telling you guys its wrong its wrong  its wrong
611,10,3,Kyle,"Dad, Dad, Jesus Christ!",dad dad jesus christ
614,10,3,Kyle,"Mom, it was nothing. Mohammad just stood there and then drank some tea.",mom it was nothing mohammad just stood there and then drank some tea
617,10,3,Kyle,"No, Muslims can't show an image of Mohammad.",no muslims cant show an image of mohammad
619,10,3,Cartman,"Yeah, Kyle. Maybe you think this is funny, but the rest of us don't.",yeah kyle maybe you think this is funny but the rest of us dont
621,10,3,Cartman,"Mrs. Garrison, that is ignorant and racist! Muslims are mad because of Family Guy, not because they can't jack off! Right, Wendy?",mrs garrison that is ignorant and racist muslims are mad because of family guy not because they cant jack off right wendy
624,10,3,Stan,The hell's going on now?!,the hells going on now
631,10,3,Randy,FAMILY GUY!!!  I DAMN YOU TO HELL!!!,family guy  i damn you to hell
635,10,3,Cartman,Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!,goddamned family guy now theyre just provoking people its like they want a holy war
636,10,3,Stan,Does this mean we don't have school all week?,does this mean we dont have school all week
637,10,3,Cartman,"You guys, this is serious! We have to do something!",you guys this is serious we have to do something
639,10,3,Cartman,We have to go to the FOX network in L.A. We have to go and... try to get that episode pulled. You guys with me?,we have to go to the fox network in la we have to go and  try to get that episode pulled you guys with me
640,10,3,Stan,"Dude, we can't go anywhere. They've shut down the airports and the buses.",dude we cant go anywhere theyve shut down the airports and the buses
641,10,3,Cartman,Then we'll ride our Big Wheels.,then well ride our big wheels
643,10,3,Cartman,"If that's what it takes, yes! We have to talk to the network! The Family Guy writers aren't gonna back down!",if thats what it takes yes we have to talk to the network the family guy writers arent gonna back down
644,10,3,Kyle,Well good for them. They shouldn't! The writers are standing up and saying they aren't going to be intimidated!,well good for them they shouldnt the writers are standing up and saying they arent going to be intimidated
645,10,3,Cartman,"Intimidated?! Is that what you think this is about, Kyle?",intimidated is that what you think this is about kyle
646,10,3,Kyle,"All right dude, what the hell has gotten into you?! I don't trust for one second that your sudden concern for the Muslim people is real!",all right dude what the hell has gotten into you i dont trust for one second that your sudden concern for the muslim people is real
647,10,3,Cartman,"All right, fine, Kyle. Forget the Muslim faith for a minute. People can get hurt. If ten people die because Family Guy just had to have their little joke, will you still think it's funny?  What if a hundred people died? Will it be funny then, Kyle?  I'm going to Los Angeles. I'm gonna do whatever I can to get that episode pulled before this gets out of hand. Somebody has to speak for the Muslim people. Somebody has to speak for what's right.",all right fine kyle forget the muslim faith for a minute people can get hurt if ten people die because family guy just had to have their little joke will you still think its funny  what if a hundred people died will it be funny then kyle  im going to los angeles im gonna do whatever i can to get that episode pulled before this gets out of hand somebody has to speak for the muslim people somebody has to speak for whats right
649,10,3,Kyle,Dad? Are you sure there's time?,dad are you sure theres time
655,10,3,Kyle,Ike? Iiike!  Ike!,ike iiike  ike
657,10,3,Kyle,Ike!  This way!  Iiike!,ike  this way  iiike
660,10,3,Cartman,Come to try and stop me?!  It isn't gonna work.,come to try and stop me  it isnt gonna work
661,10,3,Kyle,"I didn't come to stop you. I... I think you're right, Cartman. I want to help you get the Family Guy episode pulled.",i didnt come to stop you i  i think youre right cartman i want to help you get the family guy episode pulled
662,10,3,Cartman,"Yeah well, I don't need a partner on this.  Especially one who doesn't trust me.",yeah well i dont need a partner on this  especially one who doesnt trust me
663,10,3,Kyle,"Look, Cartman, I don't know what's gotten into you, but... I I think it's pretty amazing. And I think it's real. You have to understand why I didn't believe you before.",look cartman i dont know whats gotten into you but  i i think its pretty amazing and i think its real you have to understand why i didnt believe you before
664,10,3,Cartman,"Yeah. I do understand, Kyle. I've been doing the wrong things for a long time. Doing things for my own selfish reasons. I just wanna do something right, you know? Just this one time.",yeah i do understand kyle ive been doing the wrong things for a long time doing things for my own selfish reasons i just wanna do something right you know just this one time
665,10,3,Kyle,"It's a long trip, dude. You're gonna need help. We can try and get the episode pulled together.",its a long trip dude youre gonna need help we can try and get the episode pulled together
666,10,3,Cartman,You know we might not even make it into the studio.,you know we might not even make it into the studio
667,10,3,Kyle,"I know. But just like you, I feel like I have to try. People can really get hurt, and a joke just isn't worth that.",i know but just like you i feel like i have to try people can really get hurt and a joke just isnt worth that
668,10,3,Cartman,So what made you change your mind?,so what made you change your mind
669,10,3,Kyle,I got some sound advice... from an old friend.,i got some sound advice  from an old friend
670,10,3,Cartman,"Well Kyle, we'd better get going.",well kyle wed better get going
673,10,3,Kyle,I'm set! Let's do this!,im set lets do this
674,10,3,Cartman,"All right, let's roll!",all right lets roll
676,10,3,Randy,"Well what are we gonna do, Mayor?! Part 2 of the Family Guy episode airs in six days!",well what are we gonna do mayor part 2 of the family guy episode airs in six days
682,10,3,Randy,I like the sand idea.,i like the sand idea
686,10,3,Kyle,"We got six days to make it to Los Angeles. If we keep our stops to a minimum, we should be able to get the episode pulled just in time.",we got six days to make it to los angeles if we keep our stops to a minimum we should be able to get the episode pulled just in time
687,10,3,Cartman,"Yes, and in just a few weeks from now, Family Guy will be off the air forever.",yes and in just a few weeks from now family guy will be off the air forever
