Character,Line
Butters,"AWESOM-O?  Hey, what are you doin' with him?!  That's my robot!  AWESOM-OOOOOOOOOOOOOO!!!"
Randy,"Well, Stan, it's not really our-"
Stan,"Jesus Christ! Another commercial? Are they ever gonna say ""shit?"""
Cartman,"Yeah, these guys are only motivated by money, Ted."
Stan,Don't you worry about that! I've started taking hormones!
Cartman,"Butters, I hate you with every inch of my body."
Stan,"Come on, Kenny, this isn't you. We want you back, dude."
Kyle,"Knock it off, Cartman!"
Cartman,"Oh. Uh, nothing. I was just getting back to work."
Stan,"Yeah, and then those Terrance and Phillip dolls will be ours!"
Stan,I know! This is awesome!
Mr. Garrison,"Hey, it's Sexual Harassment Panda."
Butters,Ah! What did I do?! What did I do?!
Stan,I wonder what that thing was that the visitors gave the cows.
Stan,"You know what? That's great with me, Thad, 'cause I don't need you to break a million points! I never did!"
Kyle,"Well, I attend South Park Elementary, ah-and... w-one of the teachers is having sssex with a student."
Kyle,"Dude, he's pretty dead."
Stan,I found this frozen guy in the woods today.
Cartman,"Alright Stan, just sit down at the computer."
Stan,So what should we do?
Kyle,"I'm a Paladin, Cartman!"
Randy,"Well, maybe it's time."
Butters,"Oh. Uhm, you know. Girl places."
Cartman,"Uh, she was all, like, crunchy and crispy and stuff."
Cartman,"We're not just sure, we're HIV-positive."
Kyle,"I'm sorry you guys, but there is something we can do. We can go to Canada and see the Prime Minister like I said. If we can change his mind before Christmas, then your parents won't have to give my family money."
Cartman,Butter-Butters! The key to our victory is following the Game of Thrones model exactly. I have to know what happens when the dragons show up so I know how to deal with Kenny.
Stan,"They don't just allow them, they have them available at the front."
Kyle,"This must be it. ""Cleo Broflovski"" That's my grandma."
Randy,"Hey, back off, cunt!"
Stan,Can't somebody else operate this? I can't really reach.
Cartman,"Yeah, I like fishsticks."
Stan,I don't wanna trick-or-treat with you. You lied to me.
Cartman,"Oh, look at you go, Kyle! Oho, you dirty girl! You LOVE those balls."
Randy,Ogh. I don't believe we came all the way out here.
Cartman,"Oh I'll find it, don't worry!  God - dammit, give me my triangle, Kyle, seriously."
Stan,Get over here and untie us!
Stan,"Come on Wendy, Kyle's mom will make us tuna fish sandwiches."
Butters,"Well this costume was supposed to be for the Easter musical, fellas, not for tryin' to make an easy buck!"
Randy,Oh no! Oho oho.
Kyle,"Kenny, all you did after the cat peed in your face was start running around in circles cheering."
Randy,I'm not gonna fall in. I'm not a chick.
Stan,"Yeah well I, I just try not to think about it."
Stan,"It seems like everyone has an attitude of ""that's just the way they are"" or ""that's just the way it is""! Nobody likes it, but everybody's too busy to do anything about it!"
Cartman,"Not a big deal!? Is that how everyone feels!? People need to understand the seriousness of this illness, and the bravery of the people who struggle with it!"
Kyle,We made two dollars.
Cartman,"What do you mean, what am I doing?! Im just standing here. Jesus, mellow out, you guys."
Cartman,"You see, in America we have... log rides!  Bacon double-cheeseburgers!  Sheep-shearing contests!"
Cartman,"Haha, charade you are, Scott!"
Stan,Is he doing it again?
Stan,"Stop, you fucking lunatic!"
Randy,You can't just keep us in here!
Cartman,"Oh my God, look everyone, it's the Coon!"
Butters,"Yeah, tha-that was real badass how you stood up for your sister. Uh-uh-I'd have kicked Kyle's bitch ass, too."
Mr. Garrison,"Well, boys, it's obvious to me that you didn't do your work, and that you stayed up all night thinking up some ridiculous lie."
Randy,"Good idea!  No wait, we can't check Drudge Report: there's no Internet!"
Stan,"Dad, Death is coming!"
Kyle,"Oh, brother, here we go again. Cartman, there is not a sound frequency that makes people crap their pants!"
Cartman,Helloo thear! The name is Eric P Cartman. I'm a well-respected owner in the slave trade.
Stan,"Hoh boy, we're in big trouble."
Stan,"He's right. If Butters is naturally skinny, he'll be able to take the weight off faster."
Cartman,"Alright, alright.  Kyle..."
Kyle,Ugh! Those dirty liars!
Cartman,"I knew you were trying to have a hippie jam festival! All right, everyone pack up your crap, we're going to our basement!"
Stan,"I'm not hysterical, I just don't want to shoot the bunny."
Cartman,How are we supposed to make money on the Internet?
Stan,"But Shelly, it's the Russell Crowe Show! You always said there's nothing you love more than Russell Crowe."
Butters,"Oh, all right. Well all right, here you go."
Stan,That's my new dog Sparky. He followed me to the bus stop.
Butters,But you said they were on their way like three hours ago!
Stan,"Yeah, dude, our parents are gonna be at the stupid fair all day long. They'll never know what we bought.  I'll get the tonfas.  Those are so sweet."
Stan,"Yeah, dummy, you have to get a nurection."
Stan,"Yeah, I wonder why he's being so nice."
Mr. Garrison,"Mr. Mackey, um... I can't go to Arkansas. Somebody's gonna have to fill in for me."
Cartman,"Check it out, you guys. I'm calf-curling."
Cartman,A joke?! You think being poor is a joke?!
Stan,Yeah. There's got to be a way out of this.
Cartman,I would never kill somebody... not unless the piss me off.
Cartman,"My God, he's right.  Hail Mary, full of grace, the Lord is with thee, even though I walk through the valley of death.  Guys, I don't know if I ever told you this, but, well, I love you guys.  Except for you, Kyle."
Kyle,"No way!  You do it, Kenny!"
Cartman,...But he's not gonna get in trouble.
Stan,But the big dance is tomorrow and all the guys are gonna duct-tape him to a flagpole.
Butters,Lezzing out? What's lezzing out?
Kyle,"Yes, but he thrives on that."
Cartman,"Well we're here now, that's all that matters.  Care for some nuts? Oh, that's right. I guess you'll be chock full of nuts in a few minutes."
Cartman,"That's stupid, who the hell would want to do that?"
Butters,"Oh, well, ye-Eric, ah I told you: everyone has a creamy filling inside them, where all the feelings of compassion and joy come from. Oh, didn't your dad ever tell you that?"
Cartman,"Copy that, Hawk Eyes. Keep surveillance tag Alpha Niner. Dragon Wind out."
Stan,It's not a big deal. We can just watch American comedy.
Kyle,"Hello. There are certain networks that we see as harmful to our families, and we want them removed, please."
Kyle,"Because that sounds like we don't have anything, We've been through this already, Stan!"
Kyle,Cartman was right! The holiday season is for idiots!
Butters,"Oh, uh... I wanna be a vampire."
Cartman,"That bitch! Kenny gave his heart to her, and she's just gonna throw it in his face!"
Cartman,"Okay, well let's do that then. That looks nice."
Cartman,Damnit Butters! Keep eating or I'll kick you till you're deader than Kenny!
Kyle,"Dude, I just found out that everybody pees in pools. Why would I go back?"
Kyle,"No it's not, Cartman. You know, there really are couples out there who are missing children."
Stan,So there's nothing spiritually wrong with me?
Cartman,"Yeah, I'm fat and I'm pissed!"
Cartman,Help me! Hellp mee!
Randy,"The news says that at your age you aren't safe with us, son. You have to get out of here before we abduct you."
Cartman,No? How about this?
Kyle,Dad! Somebody's at the front door!  Well am I grounded or not?!  Ugh. Fine! I'll get it!
Kyle,I'm not from Jersey. I was born here.
Cartman,"You were supposed to kick his ass, not lick his butthole!"
Cartman,"""SORRY""?! YOU GAVE ME AIDS AND YOU'RE ""SORRY""?!"
Cartman,"The, the thing is, I totally said I was sorry, but she still wants to beat me up."
Cartman,"Yes, yes, thank you thank you. Praise Him. I think we're ready to start now."
Randy,I know where it is!
Kyle,Did you guys hear what's going on? There's like four girls at the school now offering to kiss boys for money.
Butters,"That's it! Eric, hurry! Somethin's goin' on out here!"
Stan,"It was... I don't know, ten, maybe fifteen minutes of pure hell."
Cartman,I...  told your mom you got an F on that social studies test.
Stan,"Dude, we can't go anywhere. They've shut down the airports and the buses."
Stan,"Dude, how are we supposed to read an entire book over the weekend and write an essay?"
Cartman,"Hello, Kyle. Looks like you've run into a little snag in your plan as well."
Randy,"Stan, as you get older, boobs - bu-these ""ahta"" will start becoming a major part of your life."
Kyle,"You can't talk to Stan, Wendy. He throws up when you do."
Stan,"Uh yeah, Butters, he's real cool."
Cartman,"Well, I'm just saying na, don't mess with Kitty na."
Kyle,Yep. But I guess this proves that war is the natural order of life.
Kyle,"Go ahead and tell him, Cartman."
Stan,"Dad, what are you doing?"
Stan,"Uh, no! I hate that toy!"
Randy,"Listen, listen everyone! Nobody can leave this building!"
Cartman,"Yeah, we just have to find somebody who knows how to do it."
Kyle,"Yeah, it was the craziest thing. I hid myself on a plane to Antarctica. Oh, it was so dry down there."
Stan,Are you gonna share any of that cake with the rest of us?
Randy,"Alright, the limo's here. Muhammad, thanks again for doing this."
Cartman,"All right, Bebe, let's see the list."
Kyle,"""Krocsyldiphic."" C  Damnit!"
Cartman,I have to get out of here! Why is everyone in my past so stupid that they think I'm crank-calling them?!
Cartman,Ey! I'm the leader of Earth!
Kyle,Whoa! They gave you an anal probe Cartman?
Cartman,Oh! This has gone from weak to superweak! Things cannot get any more weak for me.
Kyle,"Dude, who the hell is Mitch Connor?"
Stan,Hey come on guys.  We have to go to the mall and tell Santa Claus what we want for Christmas.
Cartman,"You guys, my mom is getting a Ferris wheel."
Kyle,He's right. It's just a spook story.
Kyle,We believe that films have to be taken away from people like Steven Spielberg and George Lucas because they're insane.
Kyle,I don't care! You're not making me wait in the van again!
Stan,"You guys, there's a frozen ape man from the past down here! Send some more rope!"
Cartman,"There's nothing faggy about $10 million dollars, asshole! This was a message from God!"
Kyle,"No, I don't have sand in my vagina! I just think it's a little immature for us to be standing around talking about one dumb word being on TV!"
Kyle,"That's retarded! You didn't come up with that experiment, Cartman, you saw it in that movie, The Thing!"
Cartman,"Aw, come on Stan, maybe that's just because you look like a total choad."
Butters,That's great AWESOM-O!  You can carry all my laundry in one trip!
Cartman,"Token, Token, got a question for you:  Token, do you like fishsticks?"
Cartman,"...and I told him. I said, 'Kyle, I will kick you in the nuts.' But he didn't give it back to me. So I kicked him square - in the nuts, and he cried - like Nancy Kerrigan!"
Mr. Garrison,"Ogod, you're not gonna lay that Channukah crap on me, are you?"
Cartman,"Kyle, how many times do we have to go through this? I'm the negotiator. I negotiate our price with the customers."
Stan,Yeah. Every time she shows up my mom turns into a total bitch.
Mr. Garrison,"Missionary position, good. A little boring, but tried and true. What else?"
Kyle,"I don't know, but at least from now on, every time we look at the moon, we can know that Willzy-x is up there, dancing with the other zypods in his castle."
Cartman,"Oh, hello, guys! Thanks for coming to my Chili Con Carnival!"
Cartman,"Oooh I wonder what Stan got me for my birthday present? Oh look, a Blue Mega Maaan. Thank you, Stan, you may now eat pie and cake and ice cream now.  And what did Wendy get me? Oooh it's the Yellow Mega Maaan. Help yourself to pie and cake and ice cream, Wendy. Oh, look what Kyle got me? It's the Red Mega-... Ants In The Pants? Ants In The Pan- ANTS IN THE PANTS?"
Stan,"Yeah, go on dude!"
Kyle,Yeah. I guess their rules did have a point. Things have gotten a lot worse in the ten days since they've been gone.
Cartman,I thought you weren't supposed to run around with scissors.
Mr. Garrison,"OH, GOD-DAMNIT! You'd better be kidding!"
Cartman,I hope they're not Austrians. That's the last thing this town needs.
Cartman,I'm gonna be Jesus!
Cartman,"...naw, that didn't work either."
Cartman,"Ah I don't think so, dude."
Cartman,"You see that?! That's MINE! My asshole friend Stan took my kidney, and I need it put back in!  Please."
Cartman,"That's it! Now I'm all pissed off!  Take that, hippie!"
Butters,Uh stop... Stop trying to make me say things I don't want to on your TV show.
Cartman,"Sweet.  Mom, somebody's at the door."
Kyle,"Well, I mean, all last week you were ripping on ginger kids and now you are one."
Kyle,Well what are you watching?
Cartman,But I'll have to sing the Cheesy Poofs song for that talent va-a-an!
Kyle,"No dude, that makes you gay!"
Butters,"Oh, jeez. Ah I don't wanna get the AIDS, fellas."
Kyle,"Thank you for seeing us, Mr. Johnson. We were hoping that maybe you have some kind of key that can help us with our disease."
Butters,"Well, there's a lot of interesting stuff in here, Craig. There's even some quotes from President Obama.  Could you read this part out lout?"
Kyle,"Okay. ""Woo"" mouths again?"
Cartman,Yeah yeah rah work it Michael work it!
Cartman,Abortion isn't wrong! What's the one thing I've been teaching you?
Randy,Uhuh... Finally! I'm online again! Yeeheeyes!  Japanese girls puking each other's mouths.
Stan,"Uh, excuse me. Excuse me, can I have your attention please? What are we doing?  It's been nine days! Doesn't it seem like we should accomplish something?"
Stan,True. Someone or something doesn't want this video returned to the video store.
Cartman,"Dude, what's wrong with you? You got some kind of John Travolta disease?"
Kyle,I don't really see the fun in...  ...not trying to kick that game's ass once and for all!
Cartman,"You slept with my girlfriend, Hammerclaw!"
Kyle,"Dude, I don't wanna play Detective anymore."
Butters,"All week long, bossman say"
Stan,"Tell us how to get to the video store, Butters, or else we're gonna kick your ass!"
Randy,...Are those good moral values?
Randy,"I quit. Now, what I have for your starters today is a potato-encrusted scallop with lobster foam. Now we're gonna top that with some crème fraîche."
Cartman,"Byeh, sure. Well, you show me one independent film that  isn't about gay cowboys eating pudding!"
Kyle,But I have to get off!
Randy,"I'm gon-, I'm gonna take a look outside!"
Randy,It's over. But you were wrong. We don't have to be afraid of Amazon. The only price to be paid for convenience is that we must be secure with ourselves.
Butters,"Hey, you know? Eric is right. Maybe we should form a 99% club."
Stan,"Alright, I can't take it anymore! I'm getting on that stage!"
Cartman,"Yeah, it's bullcrap. I'll bet half these of these people are Koreans."
Butters,What do you guys wanna do first? I hear they have a new inner tube slide.
Cartman,Or if I did?
Cartman,Ey! You can't do that! Ey!
Randy,"I'll help you, Sharon.  Boy, that's just awful."
Stan,I don't get it. Why would the pope be holding my Dad hostage for Snowball?
Butters,"Oh Gosh, I'd never make fun of somebody with a problem."
Kyle,"...But what if I do a bunch of chores around the house? Come on, you're being unfair!"
Cartman,"I don't wanna be in your crappy band, guys. I just wanted to let you know, the album for my Christian rock band,  Faith + 1, is about to go platinum."
Randy,...I'm not a r-tard.
Kyle,What's he doing at his teacher's house?
Kyle,"Dude, we don't have time for your stupid jokes! We're gonna die!"
Kyle,So wait. Do we do that spin-around thing on the last beat?
Cartman,"This is Baghdad? God, what a shithole!  I mean, oh wow, these poor unfortunate people."
Kyle,"No. No, it'll be okay!"
Butters,"Oh, ah, I'm not a tourist. I'm a native Hawaiian."
Randy,"That's not true! I think Tween Wave music is complex and awesome and it speaks to my youthful rebellious spirit, Sharon!"
Stan,"Hey! Hey, open the door!"
Stan,"So, how'd it go, Clubber Lange? You kicked Mr. Harrison's ass?"
Stan,"Well, why don't you tell the governor yourself?"
Cartman,"Oh, you're going down, Elin!"
Cartman,Where are you going?!
Stan,"We've just gotta get that angry mob back on our side!  Alright, everybody, listen up! Those bastards broke in here and took those poor quintuplets to the mayor's office downtown! But they haven't won yet! I say we all go over to the mayor's office, and demand to see the quintuplets right now!"
Stan,"Bi ologad bag, big nan dastai."
Cartman,"Eh, what are you doing? I want chicken! Give me some Goddamned chicken!"
Randy,Stan I... need your help.
Stan,Does this mean we don't have school all week?
Cartman,"Can I talk to you for a second, just for a second, right over here?  Listen uh, I heard through the grapevine that you've got a thing for Kyle?"
Kyle,He singing some new hit song.
Kyle,What are we supposed to do with him?
Butters,Okay. I'm not lookin'.
Cartman,"Mom, how are you going to start bringing more money into this household?"
Kyle,"Ike, jump down, now! For the love of God, Ike, jump!"
Randy,"So who won, Mr. Mackey?"
Kyle,"Get back on, fatass! You have to practice!"
Cartman,"Hello, puhree! Puhree hello! Hello, sucky-sucky! Hello, puhree!"
Cartman,"Well, I'm out guys.  If this is what's cool now, I think I'm done. I no longer have any connection to this world. I'm gonna go home and kill myself. Goodbye, friends."
Cartman,Aw- Jee-. They don't even make enchiritos anymore!
Cartman,"He is real, you guys."
Stan,"Okay, it's all clear."
Butters,"Oh God, oh my God no!"
Stan,Yeah. But what about Kenny. His soul is still in Cartman's body.
Randy,"Well, according to that sign right there, it's 40 miles an hour."
Mr. Garrison,"Children, did you say hi to Mr. Twig?"
Kyle,"Whoa, Cartman. Talk about wide load."
Stan,"Hey, look! We blew up the snake!"
Cartman,How can Slash be playing in Colorado Springs and Moscow at the same time?!
Kyle,We have a dead friend.
Mr. Garrison,Holy poop on a stick!
Cartman,"'""I'm a little piggy; here's my snout. Oink oink oink, oink oink oink.""'"
Stan,Because of you! It's your fault that we have to do this! We have to do this because you're unhealthy!
Stan,"Mr. Mackey, stop running!"
Randy,"It's been three days now since the guinea pigs and the guinea bees attacked. Guinea rabbits are still everywhere, along with a few guinea panthers. We've taken shelter at the Outback Steakhouse. There's Sharon and Shelly. Say ""hey"" guys."
Kyle,Oh! Hey Cartman. We're playing dreidel; you wanna try?
Stan,Just leave me alone!
Kyle,"Hey Token.  You-you gonna watch the game tonight, Butters?"
Butters,"Gee whiz, there sure is a lot of 'em."
Cartman,It's a cool island song.
Randy,"Yeah, Stan, don't be so hard on yourself."
Butters,"Well, I have to take medicine for it every day. It's a little suppository I have to... put up my rectum."
Stan,It's some kind of parental conspiracy. Our parents are trying to kill us or something.
Cartman,"Guys, meeting over here for a second?  All right you guys, we need to stay calm and just do the right thing. We have to kill Butters and bury him in Kyle's backyard."
Cartman,"Remember Butters, you must get that future-telling device from the girls at all costs! And just roll with it if they start lezzing out."
Randy,"Well, it looks like we've dodged a bullet."
Kyle,We don't... really know the difference.
Stan,Hey! So what are you going to do now?
Cartman,Just pass them through these little drill holes here. That's what everybody does.
Stan,Why were those other rabbit guys chasing me?!
Randy,"We are the same, she and I."
Mr. Garrison,"We're doomed! Good-bye, Mr. Hat."
Butters,"HA! I can almost feel his balls on my fist!  Haha! How do you like that, Dad?!"
Randy,"Sounds to me like we don't have a choice! Give me the sword.  Ahhhh. Come on, we've got to get to a computer that works!"
Cartman,"He could do everything. I saw Funnybot on ""Nurse Jackie"" and on ""Rockin' The Boat."""
Cartman,"Guess you think today is your big day, huh Kyle? To embarrass me in front of everyone?  Well guess what? I'm not giving you the satisfaction!"
Butters,"We aren't makin' that much, fellas."
Randy,"You're gonna love it, Sharon. It is in pristine condition."
Butters,"Oh, not really sir, I just uh..."
Stan,"If she hears him screaming, or comes out or anything, just... stall her. Alright?"
Cartman,"So it looks like you're too cool to care that you're on an album cover, you black asshole! Now just hold it!  Our first album cover. 
Don't ever leave me, Jesus. I couldn't stand to see you go.
My heart would simply snap, my Lord, if you walked on out that door.
I promise I'll be good to you, and keep you warm at night.
Jesus, Jesus, Jesus, why don't we just... shut off the lights."
Cartman,"Alright, just what the hell do you think you are doing?"
Cartman,Can you believe that rooster played a Kalonian Twingrove with half his mana tapped?
Butters,"Okay, I got it!"
Butters,Stan and Kyle are really good at it.
Kyle,"I know, I know. Well, look: I'll stay over anyway so I can play for... eighteen hours, and then I'll go to the lake."
Butters,"So what do you wanna do first, Eric? You wanna play a game or just chitchat for a while?"
Cartman,"Hey, what are you doing?"
Randy,"Alright gingers, we have Muhammad for you, now hand over the detonators."
Kyle,"I'm sorry, Stan. I'm sorry. This whole war has just got us all so screwed up. I just want us to be playing Call of Duty on the right machine."
Cartman,"Hahaaha! Ha. Ha. Heh. Huh, excuse me, sir."
Cartman,"No, no problem. I just need to- my cousin and I touched each other's  AAAA no, NAAAA!  I just... no I... I just want to thank everyone for coming- my cousin and I touched wiener- we wiener we, weenter! Winter is a cold time of year.  Ah, I need to be going now."
Mr. Garrison,"...You don't count, Halfy-you don't have any legs!"
Cartman,He's not a fag!
Butters,"Uhh,  mahjey burazi?"
Cartman,"Dude, this is hella cool."
Stan,"No you don't, fatass!"
Randy,"Relax, Father Maxi. What harm can one Jew do against our... economic recovery movement?"
Stan,"Dude, what did I tell you?! You have to be tough and stand up for yourself!  Mr. Garrett, Mr. Garrett.  This kid wants to join the basketball team. He's really good."
Kyle,"It was pretty fun, wasn't it?"
Randy,"Beating off the dog is not appropriate when we have company!  Ah I mean, ever! Beating off the dog is not appropriate ever!"
Kyle,But I thought we were supposed to care on Thanksgiving.
Cartman,U-hi think that's a sweet idea!
Butters,"How come you slapped my face, Stan, huh? Why uhwhy on earth would you do that, anyways?"
Stan,"That's nice. Look Chef, Cartman's got this eye doctor, see, and he- Girlfriend?!"
Stan,What am I supposed to do about it?
Stan,You scram! We were here first!
Stan,What's a - homosexual?
Kyle,Yeah. And we're sorry for turning Ned into a vegetable.
Cartman,"Why does this happen every month? It seems like, right around the same time every month, Kyle's mom gets a hair up her ass about something and I always end up getting screwed by it!"
Cartman,You are the true dreamers. Tomorrow you will prove it. We will begin by reviewing how to print out cheat sheets as labels for your bottled water.
Kyle,"Don't worry, dude. You're gonna do great."
Butters,"Awww jeez, you're no fun."
Stan,When do we want it?
Stan,You mean like a baker and a cop?
Stan,"Oh, shit!  Oh!"
Cartman,What the fuck is this?!
Cartman,That son of a bitch. He's gonna show everyone that picture. Only twelve hours from now.  That's it. I don't have a choice. I'm gonna have to bring Mom in on this one! I'm just... going to have to tell her the truth.  Ow. OW. OW!
Stan,I don't think Kyle really loves Cartman's farts. There's something else going on.
Kyle,"Wow, look at all these people playing right now."
Cartman,Why don't you stay the fuck out of my business?!
Kyle,What's the matter dude?
Stan,So the terrorists can't ever use it against us again.
Kyle,Just stop it!  Stoop iiit!!  There's a logical explanation for that.
Randy,"Will you just relax, Finland?! Nobody is gonna find out anything."
Stan,"I don't get it dude, w-what's so controversial about this? All he's done is said ""shit"" and ""fuck"" a few times."
Cartman,"Yeah yeah, we're listenin' to it!"
Stan,"Look, we said we wanted to form a club to protect and serve South Park. We put all this time to it, I mean... What do you guys wanna do, huh? Go back to playing Car Mechanics? Or Laundromat Owners?"
Cartman,"For he is LordLord, Lord, LordWhere are you from, little boy?"
Cartman,"What do you mean, Rumpertumskin?"
Stan,"Yeah, well people make us kids believe that heaven is this white place with fluffy clouds and angels..."
Randy,"Oh, that is beautiful!"
Randy,Who are the Harrisons?
Kyle,"Doesn't anyone understand the significance of ""I'm sorry"" anymore?"
Stan,"There is darkness all around me
Deep, piercing black, I cannot breathe
My heart has been raped."
Butters,"Lu Lu Lu, I've got some apples, Lu Lu Lu, you've got some too. Lu Lu Lu, let's get together, I know what we can do, Lu Lu."
Randy,"Wow, you sure whipped those kids into shape."
Cartman,"Oh, God-damnit! How am I gonna keep Butters down in that bomb shelter for a whole week?!"
Kyle,"Uh, alright then.  Oh, would you look at that? I've got a corn on my ankle.  Now where did that one come from? That's the fourth one I've had-"
Cartman,Nyah nyahnyahnyah nyah nyah. Guess wha-at I got? Antonio Banderas blow-up doll. You guys didn't get one.
Randy,No I'm eh... I know for a fact that I don't sound the same live.
Randy,"Yes. Yes, of course. Quickly, Stan, we must give it to everyone!"
Cartman,"Yes, we sure do."
Kyle,Did you do it?
Cartman,...I don't understand the difference.
Stan,I haven't been sleeping well.
Cartman,The bitch isn't ginger! She's just using makeup to look ginger! And pretending to be ginger with makeup is the worst thing anybody can do!
Kyle,You probably should come clean and tell the truth. Did you superglue your bracelet?
Kyle,"You were, you were right?"
Kyle,Did you guys ever see that one Brady Bunch where the guy...
Kyle,"Ah- I was just sledding, and the next thing I knew my sled rope got tangled with a bus, uh. I gut dragged for over a hundred miles before the bus finally stopped for gas.  I'm sorry about your sled, Kyle."
Cartman,"All right, Clyde, hit him with your crossbow!  Hit him now, Clyde! Clyde? Clyde!  Clyde! Clyde, you asshole!  Goddamnit we lost Clyde!"
Stan,Have I missed anything?
Stan,"Dude, what a bunch of freakin' nerdos."
Stan,So why can't he live here now?
Stan,"Does this month, November, hold a special significance?"
Kyle,Yeah. She's really cool.
Randy,"I had everything. A huge house,  and all the women you can imagine.  And then one day, just as quick as it started..."
Cartman,"It's flawless! I'll act like I have a disability, and when the time come to compete I'll kick ass against all the handicaps!"
Kyle,He's my new pet elephant.
Butters,"Hey, what are we gonna do, huh?! Ughuh uh they shot at us! They really shot at us! They, they ain't gonna stop until we're all dead, I betcha. Huh us and all our families."
Cartman,Yes! Do you really wanna go back to that?!
Kyle,"Hey Stan, we're gonna go to the movies."
Stan,"Token, you don't wanna see us guys lose to girls tomorrow, do you?"
Cartman,"No, that's right. Only Timmy knows the part."
Cartman,"She does! She does it all the time! She fucked me on Christmas, she fucked me on my birthday..."
Stan,"Just drink the pee, Kyle."
Cartman,"I don't know the way, Aunt Jemima."
Stan,I didn't think so.
Cartman,"But that's all I'm saying: today, bigotry and racism saved the day. Baahir, you get this, right?"
Kyle,Because I m-I mean I really think you could have done it for about $12.50.
